"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"15269","1303.564536","","","IEEE 802.15.4","195","","Ack"
"15270","1303.774000","::205:5:5:5","::201:1:1:1","UDP","104","25","8765  >  5678 Len=9"
"15271","1303.776536","","","IEEE 802.15.4","104","","Ack"
"15272","1303.812000","::201:1:1:1","::205:5:5:5","UDP","154","25","5678  >  8765 Len=9"
"15273","1303.814536","","","IEEE 802.15.4","154","","Ack"
"15274","1303.977000","::209:9:9:9","::201:1:1:1","UDP","122","25","8765  >  5678 Len=9"
"15275","1303.979536","","","IEEE 802.15.4","122","","Ack"
"15276","1304.019000","::201:1:1:1","::209:9:9:9","UDP","155","25","5678  >  8765 Len=9"
"15277","1304.021536","","","IEEE 802.15.4","155","","Ack"
"15278","1304.270000","::211:11:11:11","::202:2:2:2","UDP","25","25","8765  >  5678 Len=9"
"15279","1304.272536","","","IEEE 802.15.4","25","","Ack"
"15280","1304.305000","::202:2:2:2","::211:11:11:11","UDP","196","25","5678  >  8765 Len=9"
"15281","1304.307536","","","IEEE 802.15.4","196","","Ack"
"15282","1304.589000","::203:3:3:3","::201:1:1:1","UDP","59","25","8765  >  5678 Len=9"
"15283","1304.591536","","","IEEE 802.15.4","59","","Ack"
"15284","1304.610000","::201:1:1:1","::203:3:3:3","UDP","156","25","5678  >  8765 Len=9"
"15285","1304.612536","","","IEEE 802.15.4","156","","Ack"
"15286","1305.084000","::208:8:8:8","::202:2:2:2","UDP","216","25","8765  >  5678 Len=9"
"15287","1305.086536","","","IEEE 802.15.4","216","","Ack"
"15288","1305.125000","::202:2:2:2","::208:8:8:8","UDP","197","25","5678  >  8765 Len=9"
"15289","1305.127536","","","IEEE 802.15.4","197","","Ack"
"15290","1305.596000","::210:10:10:10","::201:1:1:1","UDP","101","25","8765  >  5678 Len=9"
"15291","1305.598536","","","IEEE 802.15.4","101","","Ack"
"15292","1305.616000","::201:1:1:1","::210:10:10:10","UDP","157","25","5678  >  8765 Len=9"
"15293","1305.618536","","","IEEE 802.15.4","157","","Ack"
"15294","1305.715000","::20f:f:f:f","::202:2:2:2","UDP","238","25","8765  >  5678 Len=9"
"15295","1305.717536","","","IEEE 802.15.4","238","","Ack"
"15296","1305.724000","00:15:00:15:00:15:00:15","00:02:00:02:00:02:00:02","6LoWPAN","217","","Data, Dst: NetSys_02:00:02:00:02, Src: IntelCor_15:00:15:00:15"
"15297","1305.728936","","","IEEE 802.15.4","217","","Ack"
"15298","1305.735000","00:15:00:15:00:15:00:15","00:02:00:02:00:02:00:02","6LoWPAN","218","","Data, Dst: NetSys_02:00:02:00:02, Src: IntelCor_15:00:15:00:15"
"15299","1305.739904","","","IEEE 802.15.4","218","","Ack"
"15300","1305.745000","::202:2:2:2","::20f:f:f:f","UDP","198","25","5678  >  8765 Len=9"
"15301","1305.747536","","","IEEE 802.15.4","198","","Ack"
"15302","1305.777000","::215:15:15:15","::202:2:2:2","UDP","219","229","8765  >  5678 Len=213"
"15303","1305.780016","","","IEEE 802.15.4","219","","Ack"
"15304","1305.791000","00:02:00:02:00:02:00:02","00:15:00:15:00:15:00:15","6LoWPAN","199","","Data, Dst: IntelCor_15:00:15:00:15, Src: NetSys_02:00:02:00:02"
"15305","1305.795936","","","IEEE 802.15.4","199","","Ack"
"15306","1305.836000","00:02:00:02:00:02:00:02","00:15:00:15:00:15:00:15","6LoWPAN","200","","Data, Dst: IntelCor_15:00:15:00:15, Src: NetSys_02:00:02:00:02"
"15307","1305.840904","","","IEEE 802.15.4","200","","Ack"
"15308","1305.846000","::202:2:2:2","::215:15:15:15","UDP","201","229","5678  >  8765 Len=213"
"15309","1305.849016","","","IEEE 802.15.4","201","","Ack"
"15310","1305.939000","::20e:e:e:e","::201:1:1:1","UDP","250","25","8765  >  5678 Len=9"
"15311","1305.941536","","","IEEE 802.15.4","250","","Ack"
"15312","1305.965000","::201:1:1:1","::20e:e:e:e","UDP","158","25","5678  >  8765 Len=9"
"15313","1305.967536","","","IEEE 802.15.4","158","","Ack"
"15314","1306.051000","fe80::209:9:9:9","fe80::205:5:5:5","ICMPv6","123","76","RPL Control (DODAG Information Object)"
"15315","1306.055200","","","IEEE 802.15.4","123","","Ack"
"15316","1306.542000","::20b:b:b:b","::202:2:2:2","UDP","96","25","8765  >  5678 Len=9"
"15317","1306.544536","","","IEEE 802.15.4","96","","Ack"
"15318","1306.554000","::202:2:2:2","::20b:b:b:b","UDP","202","25","5678  >  8765 Len=9"
"15319","1306.556536","","","IEEE 802.15.4","202","","Ack"
"15320","1306.852000","::207:7:7:7","::202:2:2:2","UDP","22","25","8765  >  5678 Len=9"
