"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"158","24.127000","fe80::206:6:6:6","ff02::1a","ICMPv6","182","76","RPL Control (DODAG Information Object)"
"159","24.148000","fe80::207:7:7:7","fe80::208:8:8:8","ICMPv6","35","76","RPL Control (DODAG Information Object)"
"160","24.152200","","","IEEE 802.15.4","35","","Ack"
"161","24.685000","::202:2:2:2","::201:1:1:1","UDP","67","23","8765  >  5678 Len=7"
"162","24.687472","","","IEEE 802.15.4","67","","Ack"
"163","24.709000","::201:1:1:1","::202:2:2:2","UDP","25","23","5678  >  8765 Len=7"
"164","24.711472","","","IEEE 802.15.4","25","","Ack"
"165","25.116000","::20b:b:b:b","::201:1:1:1","ICMPv6","112","58","RPL Control (Destination Advertisement Object)"
"166","25.119912","","","IEEE 802.15.4","112","","Ack"
"167","25.160000","::20b:b:b:b","::201:1:1:1","ICMPv6","68","58","RPL Control (Destination Advertisement Object)"
"168","25.163944","","","IEEE 802.15.4","68","","Ack"
"169","25.196000","::201:1:1:1","::20b:b:b:b","ICMPv6","26","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"170","25.198568","","","IEEE 802.15.4","26","","Ack"
"171","25.213000","::201:1:1:1","::20b:b:b:b","ICMPv6","69","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"172","25.215856","","","IEEE 802.15.4","69","","Ack"
"173","25.291000","::204:4:4:4","::201:1:1:1","UDP","70","23","8765  >  5678 Len=7"
"174","25.293728","","","IEEE 802.15.4","70","","Ack"
"175","25.299000","::204:4:4:4","::201:1:1:1","UDP","70","23","8765  >  5678 Len=7"
"176","25.301760","","","IEEE 802.15.4","70","","Ack"
"177","25.314000","::201:1:1:1","::204:4:4:4","UDP","27","31","5678  >  8765 Len=7"
"178","25.316728","","","IEEE 802.15.4","27","","Ack"
"179","25.336000","::201:1:1:1","::204:4:4:4","UDP","71","31","5678  >  8765 Len=7"
"180","25.339016","","","IEEE 802.15.4","71","","Ack"
"181","25.755000","fe80::204:4:4:4","ff02::1a","ICMPv6","71","76","RPL Control (DODAG Information Object)"
"182","25.828000","::209:9:9:9","::201:1:1:1","UDP","142","23","8765  >  5678 Len=7"
"183","25.830472","","","IEEE 802.15.4","142","","Ack"
"184","25.858000","::201:1:1:1","::209:9:9:9","UDP","28","23","5678  >  8765 Len=7"
"185","25.860472","","","IEEE 802.15.4","28","","Ack"
"186","26.031000","fe80::20a:a:a:a","ff02::1a","ICMPv6","242","76","RPL Control (DODAG Information Object)"
"187","26.331000","::206:6:6:6","::201:1:1:1","UDP","183","23","8765  >  5678 Len=7"
"188","26.333728","","","IEEE 802.15.4","183","","Ack"
"189","26.337000","::206:6:6:6","::201:1:1:1","UDP","72","23","8765  >  5678 Len=7"
"190","26.339760","","","IEEE 802.15.4","72","","Ack"
"191","26.354000","::201:1:1:1","::206:6:6:6","UDP","29","31","5678  >  8765 Len=7"
"192","26.356728","","","IEEE 802.15.4","29","","Ack"
"193","26.377000","::201:1:1:1","::206:6:6:6","UDP","73","31","5678  >  8765 Len=7"
"194","26.380016","","","IEEE 802.15.4","73","","Ack"
"195","26.438000","::208:8:8:8","::201:1:1:1","UDP","234","23","8765  >  5678 Len=7"
"196","26.440472","","","IEEE 802.15.4","234","","Ack"
"197","26.447000","::201:1:1:1","::208:8:8:8","UDP","30","23","5678  >  8765 Len=7"
"198","26.449472","","","IEEE 802.15.4","30","","Ack"
"199","26.539000","::20a:a:a:a","::201:1:1:1","UDP","243","23","8765  >  5678 Len=7"
"200","26.541472","","","IEEE 802.15.4","243","","Ack"
"201","26.553000","::201:1:1:1","::20a:a:a:a","UDP","31","23","5678  >  8765 Len=7"
"202","26.555472","","","IEEE 802.15.4","31","","Ack"
"203","27.485000","::203:3:3:3","::201:1:1:1","UDP","79","23","8765  >  5678 Len=7"
"204","27.487472","","","IEEE 802.15.4","79","","Ack"
"205","27.494000","::201:1:1:1","::203:3:3:3","UDP","32","23","5678  >  8765 Len=7"
"206","27.496472","","","IEEE 802.15.4","32","","Ack"
"207","27.841000","fe80::207:7:7:7","fe80::208:8:8:8","ICMPv6","36","76","RPL Control (DODAG Information Object)"
"208","27.845200","","","IEEE 802.15.4","36","","Ack"
"209","27.857000","::20b:b:b:b","::201:1:1:1","UDP","113","23","8765  >  5678 Len=7"
"210","27.859728","","","IEEE 802.15.4","113","","Ack"
"211","27.887000","::20b:b:b:b","::201:1:1:1","UDP","74","23","8765  >  5678 Len=7"
"212","27.889760","","","IEEE 802.15.4","74","","Ack"
"213","27.920000","::201:1:1:1","::20b:b:b:b","UDP","33","31","5678  >  8765 Len=7"
"214","27.922728","","","IEEE 802.15.4","33","","Ack"
"215","27.928000","::201:1:1:1","::20b:b:b:b","UDP","75","31","5678  >  8765 Len=7"
"216","27.931016","","","IEEE 802.15.4","75","","Ack"
"217","28.004000","::205:5:5:5","::201:1:1:1","ICMPv6","121","58","RPL Control (Destination Advertisement Object)"
"218","28.007912","","","IEEE 802.15.4","121","","Ack"
"219","28.039000","::205:5:5:5","::201:1:1:1","ICMPv6","76","58","RPL Control (Destination Advertisement Object)"
"220","28.042944","","","IEEE 802.15.4","76","","Ack"
"221","28.069000","::201:1:1:1","::205:5:5:5","ICMPv6","34","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"222","28.071568","","","IEEE 802.15.4","34","","Ack"
"223","28.098000","::201:1:1:1","::205:5:5:5","ICMPv6","77","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"224","28.100856","","","IEEE 802.15.4","77","","Ack"
"225","28.477000","fe80::20b:b:b:b","ff02::1a","ICMPv6","114","76","RPL Control (DODAG Information Object)"
"226","28.878000","fe80::207:7:7:7","fe80::208:8:8:8","ICMPv6","37","76","RPL Control (DODAG Information Object)"
"227","28.882200","","","IEEE 802.15.4","37","","Ack"
"228","29.376000","fe80::208:8:8:8","ff02::1a","ICMPv6","235","76","RPL Control (DODAG Information Object)"
"229","29.439000","::20c:c:c:c","::201:1:1:1","UDP","39","23","8765  >  5678 Len=7"
"230","29.441472","","","IEEE 802.15.4","39","","Ack"
"231","29.472000","::201:1:1:1","::20c:c:c:c","UDP","35","23","5678  >  8765 Len=7"
"232","29.474472","","","IEEE 802.15.4","35","","Ack"
"233","30.509000","fe80::206:6:6:6","ff02::1a","ICMPv6","184","76","RPL Control (DODAG Information Object)"
"234","31.364000","::205:5:5:5","::201:1:1:1","UDP","122","23","8765  >  5678 Len=7"
"235","31.366728","","","IEEE 802.15.4","122","","Ack"
"236","31.398000","::205:5:5:5","::201:1:1:1","UDP","78","23","8765  >  5678 Len=7"
"237","31.400760","","","IEEE 802.15.4","78","","Ack"
"238","31.411000","::201:1:1:1","::205:5:5:5","UDP","36","31","5678  >  8765 Len=7"
"239","31.413728","","","IEEE 802.15.4","36","","Ack"
"240","31.434000","::201:1:1:1","::205:5:5:5","UDP","79","31","5678  >  8765 Len=7"
"241","31.437016","","","IEEE 802.15.4","79","","Ack"
"242","32.023000","fe80::205:5:5:5","ff02::1a","ICMPv6","123","76","RPL Control (DODAG Information Object)"
"243","32.785000","::207:7:7:7","::201:1:1:1","ICMPv6","38","58","RPL Control (Destination Advertisement Object)"
"244","32.788912","","","IEEE 802.15.4","38","","Ack"
"245","32.828000","::207:7:7:7","::201:1:1:1","ICMPv6","236","58","RPL Control (Destination Advertisement Object)"
"246","32.831944","","","IEEE 802.15.4","236","","Ack"
"247","32.849000","::201:1:1:1","::207:7:7:7","ICMPv6","37","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"248","32.851568","","","IEEE 802.15.4","37","","Ack"
"249","32.858000","::201:1:1:1","::207:7:7:7","ICMPv6","237","24","RPL Control (Destination Advertisement Object Acknowledgment)"
"250","32.860856","","","IEEE 802.15.4","237","","Ack"
"251","32.952000","fe80::204:4:4:4","ff02::1a","ICMPv6","72","76","RPL Control (DODAG Information Object)"
"252","33.664000","::207:7:7:7","::201:1:1:1","UDP","39","23","8765  >  5678 Len=7"
"253","33.666728","","","IEEE 802.15.4","39","","Ack"
"254","33.676000","::207:7:7:7","::201:1:1:1","UDP","238","23","8765  >  5678 Len=7"
"255","33.678760","","","IEEE 802.15.4","238","","Ack"
"256","33.705000","::201:1:1:1","::207:7:7:7","UDP","38","31","5678  >  8765 Len=7"
"257","33.707728","","","IEEE 802.15.4","38","","Ack"
"258","33.740000","::201:1:1:1","::207:7:7:7","UDP","239","31","5678  >  8765 Len=7"
"259","33.743016","","","IEEE 802.15.4","239","","Ack"
"260","33.830000","fe80::202:2:2:2","ff02::1a","ICMPv6","80","76","RPL Control (DODAG Information Object)"
"261","33.841000","::202:2:2:2","::201:1:1:1","UDP","81","23","8765  >  5678 Len=7"
"262","33.843472","","","IEEE 802.15.4","81","","Ack"
"263","33.872000","::201:1:1:1","::202:2:2:2","UDP","39","23","5678  >  8765 Len=7"
"264","33.874472","","","IEEE 802.15.4","39","","Ack"
"265","35.036000","fe80::209:9:9:9","ff02::1a","ICMPv6","143","76","RPL Control (DODAG Information Object)"
"266","35.250000","::209:9:9:9","::201:1:1:1","UDP","144","23","8765  >  5678 Len=7"
"267","35.252472","","","IEEE 802.15.4","144","","Ack"
"268","35.267000","::201:1:1:1","::209:9:9:9","UDP","40","23","5678  >  8765 Len=7"
"269","35.269472","","","IEEE 802.15.4","40","","Ack"
"270","35.417000","::204:4:4:4","::201:1:1:1","UDP","73","23","8765  >  5678 Len=7"
"271","35.419728","","","IEEE 802.15.4","73","","Ack"
"272","35.454000","::204:4:4:4","::201:1:1:1","UDP","82","23","8765  >  5678 Len=7"
"273","35.456760","","","IEEE 802.15.4","82","","Ack"
"274","35.461000","fe80::207:7:7:7","ff02::1a","ICMPv6","40","76","RPL Control (DODAG Information Object)"
"275","35.484000","::201:1:1:1","::204:4:4:4","UDP","41","31","5678  >  8765 Len=7"
"276","35.486728","","","IEEE 802.15.4","41","","Ack"
"277","35.514000","::201:1:1:1","::204:4:4:4","UDP","83","31","5678  >  8765 Len=7"
"278","35.517016","","","IEEE 802.15.4","83","","Ack"
"279","35.719000","fe80::20b:b:b:b","ff02::1a","ICMPv6","115","76","RPL Control (DODAG Information Object)"
"280","36.526000","fe80::20c:c:c:c","ff02::1a","ICMPv6","40","76","RPL Control (DODAG Information Object)"
"281","36.593000","::206:6:6:6","::201:1:1:1","UDP","185","23","8765  >  5678 Len=7"
"282","36.595728","","","IEEE 802.15.4","185","","Ack"
"283","36.630000","::206:6:6:6","::201:1:1:1","UDP","84","23","8765  >  5678 Len=7"
"284","36.632760","","","IEEE 802.15.4","84","","Ack"
"285","36.667000","::201:1:1:1","::206:6:6:6","UDP","42","31","5678  >  8765 Len=7"
"286","36.669728","","","IEEE 802.15.4","42","","Ack"
